t_t_e_1s,t_t_e_2s,t_t_e_1m,t_t_e_2m,t_t_e_3m,t_t_e_6m,t_t_e_9m,t_t_e_12m,date,t_t_p_1s,t_t_p_2s,t_t_p_1m,t_t_p_2m,t_t_p_3m,t_t_p_6m,t_t_p_9m,t_t_p_12m,bid eur,ask eur,bid usd,ask usd,t_e_e_1s,t_e_e_1m,t_e_e_2m,t_e_e_3m,t_e_e_6m,t_e_e_12m,t_e_p_1s,t_e_p_1m,t_e_p_2m,t_e_p_3m,t_e_p_6m,t_e_p_12m,t_u_e_1s,t_u_e_1m,t_u_e_2m,t_u_e_3m,t_u_e_6m,t_u_e_12m,t_u_p_1s,t_u_p_1m,t_u_p_2m,t_u_p_3m,t_u_p_6m,t_u_p_12m
9.423280299829027,9.603280299829029,9.833280299829028,10.113280299829029,10.353280299829029,10.543280299829028,10.76328029982903,11.073280299829028,2019-10-18,8.423280299829027,8.603280299829029,8.833280299829028,9.113280299829029,9.353280299829029,9.543280299829028,9.76328029982903,10.073280299829028,3.1594,3.1894,2.8282,2.8411999999999997,-0.549,-0.49871000000000004,-0.454,-0.43528999999999995,-0.4107,-0.31571,-1.549,-1.49871,-1.454,-1.43529,-1.4107,-1.31571,1.84638,1.85025,1.9275,1.95325,1.95175,1.98725,0.8463799999999999,0.85025,0.9275,0.9532499999999999,0.9517500000000001,0.98725
10.001534271969232,10.181534271969234,10.411534271969233,10.691534271969234,10.931534271969234,11.121534271969233,11.341534271969234,11.651534271969233,2019-10-17,9.001534271969232,9.181534271969234,9.411534271969233,9.691534271969234,9.931534271969234,10.121534271969233,10.341534271969234,10.651534271969233,3.1445,3.1745,2.8268,2.8398,-0.55029,-0.5028600000000001,-0.45629,-0.43956999999999996,-0.41,-0.31543000000000004,-1.55029,-1.50286,-1.45629,-1.43957,-1.41,-1.31543,1.85263,1.84638,1.93488,1.9658799999999998,1.9745,1.9931299999999998,0.85263,0.8463799999999999,0.9348799999999999,0.9658799999999998,0.9744999999999999,0.9931299999999998
7.656725480708562,7.836725480708563,8.06672548070856,8.346725480708562,8.586725480708562,8.776725480708562,8.996725480708562,9.306725480708561,2019-10-16,6.656725480708562,6.836725480708563,7.066725480708561,7.346725480708562,7.586725480708562,7.776725480708562,7.996725480708562,8.306725480708561,3.1403,3.1703,2.8363,2.8493,-0.55143,-0.5048600000000001,-0.455,-0.43428999999999995,-0.40686,-0.31571,-1.5514299999999999,-1.50486,-1.455,-1.4342899999999998,-1.40686,-1.31571,1.85113,1.8775,1.9646299999999999,2.00325,1.9858799999999999,1.99225,0.8511299999999999,0.8775,0.9646299999999999,1.00325,0.9858799999999999,0.9922500000000001
7.0730827730958366,7.253082773095838,7.483082773095837,7.763082773095838,8.003082773095839,8.193082773095838,8.413082773095839,8.723082773095838,2019-10-15,6.0730827730958366,6.253082773095838,6.483082773095837,6.763082773095838,7.003082773095839,7.193082773095838,7.413082773095839,7.723082773095838,3.1309,3.1609,2.8378,2.8508,-0.55871,-0.5031399999999999,-0.45371000000000006,-0.435,-0.40643,-0.33514,-1.55871,-1.50314,-1.45371,-1.435,-1.40643,-1.33514,1.85313,1.88913,1.96738,2.0021299999999997,1.97725,1.97413,0.8531299999999999,0.88913,0.9673799999999999,1.0021299999999997,0.97725,0.9741299999999999
6.186266892213281,6.366266892213282,6.596266892213281,6.876266892213282,7.116266892213282,7.306266892213282,7.5262668922132825,7.836266892213281,2019-10-14,5.186266892213281,5.366266892213282,5.596266892213281,5.876266892213282,6.116266892213282,6.306266892213282,6.5262668922132825,6.836266892213281,3.1363,3.1663,2.8439,2.8569,-0.55871,-0.5152899999999999,-0.452,-0.43686,-0.41113999999999995,-0.34129,-1.55871,-1.5152899999999998,-1.452,-1.43686,-1.41114,-1.3412899999999999,1.866,1.89075,1.9655,2.00088,1.978,1.9731299999999998,0.8660000000000001,0.8907499999999999,0.9655,1.00088,0.978,0.9731299999999998
9.191886862765596,9.371886862765596,9.601886862765596,9.881886862765597,10.121886862765596,10.311886862765597,10.531886862765596,10.841886862765595,2019-10-10,8.191886862765596,8.371886862765596,8.601886862765596,8.881886862765597,9.121886862765596,9.311886862765597,9.531886862765596,9.841886862765595,3.1348,3.1648,2.8483,2.8613,-0.56057,-0.51786,-0.45671000000000006,-0.44256999999999996,-0.42086,-0.35214,-1.56057,-1.51786,-1.4567100000000002,-1.44257,-1.42086,-1.35214,1.863,1.92125,1.96538,1.98613,1.9355,1.896,0.863,0.9212499999999999,0.9653799999999999,0.98613,0.9355,0.8959999999999999
8.922487048059617,9.102487048059619,9.332487048059617,9.612487048059618,9.852487048059619,10.042487048059618,10.262487048059619,10.572487048059617,2019-10-09,7.922487048059617,8.102487048059619,8.332487048059617,8.612487048059618,8.852487048059619,9.042487048059618,9.262487048059619,9.572487048059617,3.1648,3.1948,2.8659,2.8789,-0.47171,-0.514,-0.494,-0.47186000000000006,-0.45714,-0.39171,-1.47171,-1.514,-1.494,-1.47186,-1.4571399999999999,-1.39171,2.12813,2.03863,2.12838,2.13163,2.03513,1.97038,1.12813,1.03863,1.12838,1.13163,1.03513,0.97038
8.205922087058477,8.385922087058479,8.615922087058477,8.895922087058478,9.135922087058479,9.325922087058478,9.545922087058479,9.855922087058477,2019-10-07,7.205922087058477,7.3859220870584785,7.615922087058477,7.895922087058478,8.135922087058479,8.325922087058478,8.545922087058479,8.855922087058477,3.2441,3.2741,2.8834,2.8964,-0.44371000000000005,-0.42871000000000004,-0.41486000000000006,-0.39857,-0.387,-0.29943000000000003,-1.44371,-1.4287100000000001,-1.41486,-1.3985699999999999,-1.387,-1.29943,2.38425,2.3691299999999997,2.36363,2.3395,2.26238,2.28575,1.3842500000000002,1.3691299999999997,1.3636300000000001,1.3395000000000001,1.2623799999999998,1.2857500000000002
9.953425237156472,10.133425237156473,10.363425237156472,10.643425237156473,10.883425237156473,11.073425237156473,11.293425237156473,11.603425237156472,2019-10-06,8.953425237156472,9.133425237156473,9.363425237156472,9.643425237156473,9.883425237156473,10.073425237156473,10.293425237156473,10.603425237156472,3.3542,3.3842,2.9646,2.9776,-0.44843,-0.41571,-0.384,-0.36629,-0.328,-0.23456999999999997,-1.44843,-1.41571,-1.384,-1.36629,-1.328,-1.23457,2.3785,2.41338,2.42075,2.43575,2.34875,2.33763,1.3784999999999998,1.41338,1.42075,1.43575,1.34875,1.3376299999999999
7.2563785562128915,7.436378556212893,7.666378556212892,7.946378556212893,8.186378556212894,8.376378556212892,8.596378556212894,8.906378556212893,2019-10-05,6.2563785562128915,6.436378556212893,6.666378556212892,6.946378556212893,7.186378556212894,7.376378556212892,7.596378556212894,7.906378556212893,3.36,3.39,2.9907,3.0037,-0.44643,-0.41543,-0.38656999999999997,-0.35857,-0.30714,-0.21429,-1.4464299999999999,-1.41543,-1.3865699999999999,-1.35857,-1.30714,-1.21429,2.3885,2.449,2.48963,2.52788,2.587,2.69338,1.3885,1.4489999999999998,1.48963,1.5278800000000001,1.5870000000000002,1.6933799999999999
8.907756542101872,9.087756542101873,9.317756542101872,9.597756542101873,9.837756542101873,10.027756542101873,10.247756542101873,10.557756542101872,2019-10-04,7.907756542101872,8.087756542101873,8.317756542101872,8.597756542101873,8.837756542101873,9.027756542101873,9.247756542101873,9.557756542101872,3.3835,3.4135,3.0013,3.0143,-0.45457,-0.41671,-0.37556999999999996,-0.35629,-0.309,-0.20214000000000001,-1.45457,-1.4167100000000001,-1.37557,-1.35629,-1.309,-1.20214,2.41425,2.482,2.5485,2.6035,2.627,2.7401299999999997,1.41425,1.4820000000000002,1.5485000000000002,1.6035,1.6269999999999998,1.7401299999999997
8.760394553233601,8.940394553233602,9.170394553233601,9.450394553233602,9.690394553233602,9.880394553233602,10.100394553233603,10.410394553233601,2019-10-01,7.760394553233601,7.940394553233602,8.170394553233601,8.450394553233602,8.690394553233602,8.880394553233602,9.100394553233603,9.410394553233601,3.4474,3.4774,2.9975,3.0105,-0.44543,-0.41886,-0.36929,-0.33086,-0.29657,-0.17271,-1.44543,-1.41886,-1.36929,-1.33086,-1.29657,-1.17271,2.40788,2.51419,2.65275,2.79694,2.86044,3.019,1.40788,1.5141900000000001,1.6527500000000002,1.7969400000000002,1.86044,2.019
8.679528717444777,8.859528717444778,9.089528717444777,9.369528717444778,9.609528717444778,9.799528717444778,10.019528717444778,10.329528717444777,2019-09-30,7.679528717444777,7.859528717444778,8.089528717444777,8.369528717444778,8.609528717444778,8.799528717444778,9.019528717444778,9.329528717444777,3.1355,3.1655,2.8767,2.8897,-0.55429,-0.50643,-0.44856999999999997,-0.44071000000000005,-0.41613999999999995,-0.361,-1.55429,-1.50643,-1.44857,-1.4407100000000002,-1.41614,-1.361,1.9115,2.01563,2.0653799999999998,2.08513,2.05563,2.03213,0.9115,1.0156299999999998,1.0653799999999998,1.08513,1.0556299999999998,1.03213
